system,criterion,k,population,recall,ci_lo,ci_hi,n_substrates,n_references,mean_emitted_at_k,mean_emitted_untruncated,predictions_from,references_from,interval
sygma,exact,15,comparison291,0.4541,0.4064,0.5049,291,665,14.632,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,20,comparison291,0.4662,0.4191,0.5145,291,665,19.292,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,30,comparison291,0.4737,0.4268,0.5224,291,665,27.643,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,50,comparison291,0.4767,0.43,0.5251,291,665,40.505,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,1,comparison291,0.1353,0.1108,0.164,291,665,0.997,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,3,comparison291,0.2466,0.2108,0.2862,291,665,2.983,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,5,comparison291,0.3023,0.2625,0.3468,291,665,4.969,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,8,comparison291,0.3774,0.3346,0.4249,291,665,7.938,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,10,comparison291,0.409,0.3645,0.4576,291,665,9.887,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,15,comparison291,0.4451,0.4014,0.4931,291,665,13.471,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,20,comparison291,0.4466,0.4026,0.4948,291,665,13.68,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,30,comparison291,0.4466,0.4026,0.4948,291,665,13.68,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,50,comparison291,0.4466,0.4026,0.4948,291,665,13.68,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,1,comparison291,0.006,0.0014,0.0128,291,665,0.976,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,3,comparison291,0.009,0.0028,0.0173,291,665,2.876,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,5,comparison291,0.009,0.0028,0.0173,291,665,4.667,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,8,comparison291,0.0105,0.0032,0.0194,291,665,6.935,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,10,comparison291,0.012,0.0044,0.0215,291,665,8.1,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,15,comparison291,0.012,0.0044,0.0215,291,665,9.866,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,20,comparison291,0.012,0.0044,0.0215,291,665,10.454,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,30,comparison291,0.012,0.0044,0.0215,291,665,10.677,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,50,comparison291,0.012,0.0044,0.0215,291,665,10.753,10.753,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,1,comparison291,0.0541,0.0389,0.0714,291,665,1.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,3,comparison291,0.1519,0.1227,0.1854,291,665,3.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,5,comparison291,0.2436,0.2076,0.2826,291,665,5.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,8,comparison291,0.3263,0.2793,0.376,291,665,7.976,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,10,comparison291,0.3669,0.317,0.4192,291,665,9.904,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,15,comparison291,0.4436,0.3927,0.4972,291,665,14.34,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,20,comparison291,0.4737,0.4197,0.5312,291,665,18.127,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,30,comparison291,0.4992,0.4446,0.5566,291,665,23.67,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,50,comparison291,0.5053,0.4504,0.5634,291,665,28.124,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,1,comparison291,0.0752,0.0565,0.0971,291,665,1.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,3,comparison291,0.1805,0.1483,0.2158,291,665,3.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,5,comparison291,0.2391,0.2014,0.2807,291,665,5.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,8,comparison291,0.3083,0.2646,0.3557,291,665,8.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,10,comparison291,0.3323,0.2861,0.3823,291,665,10.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,15,comparison291,0.388,0.3383,0.4406,291,665,15.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,20,comparison291,0.4195,0.3677,0.4753,291,665,20.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,30,comparison291,0.4617,0.4059,0.5203,291,665,30.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,50,comparison291,0.4917,0.4333,0.5529,291,665,49.931,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,1,comparison291,0.0782,0.059,0.1002,291,665,1.0,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,3,comparison291,0.1865,0.1548,0.2219,291,665,2.997,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,5,comparison291,0.2541,0.2148,0.2967,291,665,4.966,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,8,comparison291,0.3068,0.2625,0.3541,291,665,7.605,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,10,comparison291,0.3338,0.2863,0.3847,291,665,9.038,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,15,comparison291,0.3669,0.3151,0.4222,291,665,11.54,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,20,comparison291,0.3699,0.3182,0.4249,291,665,12.808,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,30,comparison291,0.3729,0.3215,0.4286,291,665,13.928,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,50,comparison291,0.3729,0.3215,0.4286,291,665,14.787,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,1,comparison291,0.0346,0.0211,0.0505,291,665,1.0,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,3,comparison291,0.0992,0.0759,0.1261,291,665,3.0,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,5,comparison291,0.1534,0.1235,0.186,291,665,5.0,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,8,comparison291,0.2165,0.1778,0.2583,291,665,7.983,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,10,comparison291,0.2647,0.2204,0.311,291,665,9.959,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,15,comparison291,0.3429,0.2908,0.3973,291,665,14.663,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,20,comparison291,0.3714,0.3169,0.4286,291,665,18.88,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,30,comparison291,0.397,0.3421,0.4538,291,665,25.643,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,canonical,50,comparison291,0.4241,0.3682,0.4814,291,665,32.474,32.474,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,1,comparison291,0.1414,0.1164,0.1697,291,665,0.997,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,3,comparison291,0.2707,0.231,0.3148,291,665,2.99,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,5,comparison291,0.3549,0.3116,0.403,291,665,4.976,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,8,comparison291,0.3985,0.3526,0.4493,291,665,7.921,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,10,comparison291,0.4271,0.3806,0.4768,291,665,9.856,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
