system,criterion,k,population,recall,ci_lo,ci_hi,n_substrates,n_references,mean_emitted_at_k,mean_emitted_untruncated,predictions_from,references_from,interval
sygma,inchikey,5,comparison291,0.3699,0.3267,0.4178,291,665,4.976,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,8,comparison291,0.4195,0.3733,0.4711,291,665,7.921,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,10,comparison291,0.4481,0.4018,0.4976,291,665,9.856,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,15,comparison291,0.4752,0.4286,0.5251,291,665,14.632,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,20,comparison291,0.4887,0.4437,0.5365,291,665,19.292,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,30,comparison291,0.4962,0.451,0.5444,291,665,27.643,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchikey,50,comparison291,0.4992,0.4543,0.5461,291,665,40.505,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,1,comparison291,0.1353,0.1108,0.164,291,665,0.997,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,3,comparison291,0.2556,0.2196,0.2959,291,665,2.983,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,5,comparison291,0.3203,0.2804,0.3653,291,665,4.969,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,8,comparison291,0.403,0.3587,0.4516,291,665,7.935,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,10,comparison291,0.4331,0.3875,0.4826,291,665,9.842,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,15,comparison291,0.4677,0.4232,0.5163,291,665,13.038,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,20,comparison291,0.4677,0.4232,0.5163,291,665,13.199,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,30,comparison291,0.4677,0.4232,0.5163,291,665,13.199,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchikey,50,comparison291,0.4677,0.4232,0.5163,291,665,13.199,13.199,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,1,comparison291,0.0692,0.0508,0.0901,291,665,0.976,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,3,comparison291,0.188,0.1562,0.2238,291,665,2.876,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,5,comparison291,0.2647,0.2279,0.3048,291,665,4.667,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,8,comparison291,0.3293,0.2865,0.375,291,665,6.931,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,10,comparison291,0.3609,0.3161,0.4087,291,665,8.089,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,15,comparison291,0.409,0.3612,0.4602,291,665,9.849,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,20,comparison291,0.415,0.3672,0.4656,291,665,10.436,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,30,comparison291,0.4165,0.3687,0.4672,291,665,10.66,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchikey,50,comparison291,0.4165,0.3687,0.4672,291,665,10.735,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,1,comparison291,0.0647,0.0479,0.0836,291,665,1.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,3,comparison291,0.1805,0.149,0.2145,291,665,3.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,5,comparison291,0.2782,0.2406,0.3172,291,665,5.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,8,comparison291,0.3774,0.3283,0.4279,291,665,7.976,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,10,comparison291,0.4195,0.3679,0.4717,291,665,9.904,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,15,comparison291,0.5023,0.4509,0.5544,291,665,14.34,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,20,comparison291,0.5338,0.479,0.5885,291,665,18.127,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,30,comparison291,0.5639,0.5092,0.619,291,665,23.67,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchikey,50,comparison291,0.5714,0.5164,0.627,291,665,28.124,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,1,comparison291,0.0994,0.0778,0.125,291,664,1.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,3,comparison291,0.2304,0.1958,0.2702,291,664,3.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,5,comparison291,0.3117,0.2732,0.3544,291,664,5.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,8,comparison291,0.4187,0.3752,0.4647,291,664,8.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,10,comparison291,0.4578,0.4129,0.5065,291,664,10.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,15,comparison291,0.5392,0.4943,0.5863,291,664,15.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,20,comparison291,0.5904,0.5434,0.6394,291,664,20.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,30,comparison291,0.6566,0.6064,0.7081,291,664,30.0,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchi_no_stereo,50,comparison291,0.7078,0.6546,0.7603,291,664,49.924,97.976,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,1,comparison291,0.1054,0.0837,0.1308,291,664,1.0,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,3,comparison291,0.241,0.2069,0.2797,291,664,2.997,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,5,comparison291,0.3208,0.2813,0.3644,291,664,4.966,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,8,comparison291,0.4021,0.3585,0.4502,291,664,7.601,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,10,comparison291,0.4337,0.3867,0.4848,291,664,9.034,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,15,comparison291,0.4804,0.4298,0.5342,291,664,11.529,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,20,comparison291,0.488,0.4373,0.5419,291,664,12.797,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,30,comparison291,0.491,0.4406,0.5445,291,664,13.914,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,inchi_no_stereo,50,comparison291,0.491,0.4406,0.5445,291,664,14.773,15.625,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,1,comparison291,0.0407,0.0261,0.0578,291,664,1.0,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,3,comparison291,0.1265,0.1014,0.1554,291,664,3.0,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,5,comparison291,0.2033,0.1719,0.2373,291,664,5.0,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,8,comparison291,0.2922,0.2523,0.3338,291,664,7.983,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,10,comparison291,0.3675,0.3234,0.4136,291,664,9.952,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,15,comparison291,0.488,0.4395,0.5385,291,664,14.636,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,20,comparison291,0.5301,0.481,0.5805,291,664,18.838,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,30,comparison291,0.5723,0.5233,0.6226,291,664,25.491,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,inchi_no_stereo,50,comparison291,0.6054,0.5557,0.6555,291,664,31.969,31.969,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,1,comparison291,0.1491,0.1234,0.1785,291,664,0.997,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,3,comparison291,0.2846,0.2445,0.3297,291,664,2.99,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,5,comparison291,0.372,0.3285,0.4198,291,664,4.976,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,8,comparison291,0.4217,0.375,0.4734,291,664,7.921,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,10,comparison291,0.4503,0.404,0.5,291,664,9.856,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,15,comparison291,0.4819,0.435,0.5324,291,664,14.632,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,20,comparison291,0.497,0.4512,0.5452,291,664,19.292,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,30,comparison291,0.5045,0.459,0.5529,291,664,27.643,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,inchi_no_stereo,50,comparison291,0.5075,0.4624,0.5551,291,664,40.505,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,1,comparison291,0.1416,0.1164,0.1713,291,664,0.997,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,3,comparison291,0.2756,0.2399,0.3154,291,664,2.983,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,5,comparison291,0.3524,0.3118,0.3981,291,664,4.966,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,8,comparison291,0.4292,0.3844,0.4781,291,664,7.863,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,10,comparison291,0.4623,0.4172,0.5112,291,664,9.43,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,15,comparison291,0.4729,0.4282,0.5214,291,664,10.732,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,20,comparison291,0.4729,0.4282,0.5214,291,664,10.746,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,30,comparison291,0.4729,0.4282,0.5214,291,664,10.746,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,inchi_no_stereo,50,comparison291,0.4729,0.4282,0.5214,291,664,10.746,10.746,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,1,comparison291,0.0693,0.051,0.0903,291,664,0.976,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,3,comparison291,0.1913,0.1596,0.2266,291,664,2.876,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,5,comparison291,0.2696,0.2332,0.3091,291,664,4.667,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,8,comparison291,0.3373,0.2962,0.3819,291,664,6.931,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,10,comparison291,0.372,0.3292,0.4178,291,664,8.086,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,15,comparison291,0.4277,0.3834,0.4757,291,664,9.845,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,20,comparison291,0.4398,0.394,0.4876,291,664,10.433,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,30,comparison291,0.4428,0.3962,0.4914,291,664,10.656,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,inchi_no_stereo,50,comparison291,0.4443,0.3967,0.4943,291,664,10.732,10.732,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,1,comparison291,0.0663,0.0491,0.0857,291,664,1.0,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,3,comparison291,0.1852,0.1541,0.2196,291,664,3.0,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,5,comparison291,0.2846,0.248,0.3231,291,664,5.0,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,8,comparison291,0.3886,0.3418,0.4374,291,664,7.976,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,10,comparison291,0.4352,0.3872,0.4853,291,664,9.904,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,15,comparison291,0.5196,0.4741,0.5667,291,664,14.33,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,20,comparison291,0.5542,0.5062,0.6041,291,664,18.103,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,30,comparison291,0.5858,0.5371,0.6358,291,664,23.601,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,inchi_no_stereo,50,comparison291,0.6024,0.5533,0.6528,291,664,27.897,27.897,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,1,comparison291,0.0753,0.0566,0.0973,291,664,1.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,3,comparison291,0.1822,0.1497,0.2175,291,664,3.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,5,comparison291,0.241,0.2034,0.2823,291,664,5.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,8,comparison291,0.3102,0.2664,0.3575,291,664,8.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,10,comparison291,0.3343,0.2881,0.3843,291,664,10.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,15,comparison291,0.3886,0.3387,0.4412,291,664,15.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,20,comparison291,0.4202,0.3685,0.4759,291,664,20.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,30,comparison291,0.4623,0.4065,0.5208,291,664,30.0,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,tanimoto1,50,comparison291,0.4925,0.4341,0.5534,291,664,49.931,97.694,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,1,comparison291,0.0783,0.0591,0.1003,291,664,1.0,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,3,comparison291,0.1867,0.1549,0.2222,291,664,2.997,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,5,comparison291,0.256,0.2164,0.2982,291,664,4.966,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,8,comparison291,0.3087,0.2644,0.356,291,664,7.605,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,10,comparison291,0.3343,0.287,0.3856,291,664,9.038,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,15,comparison291,0.3675,0.3156,0.4229,291,664,11.526,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,20,comparison291,0.3705,0.3188,0.4255,291,664,12.787,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,30,comparison291,0.3735,0.322,0.4288,291,664,13.876,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,tanimoto1,50,comparison291,0.3735,0.322,0.4288,291,664,14.715,15.564,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,1,comparison291,0.0346,0.0212,0.0506,291,664,1.0,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,3,comparison291,0.0994,0.0761,0.1263,291,664,3.0,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,5,comparison291,0.1536,0.1237,0.1862,291,664,5.0,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,8,comparison291,0.2169,0.178,0.2585,291,664,7.983,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,10,comparison291,0.2651,0.2209,0.3115,291,664,9.959,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,15,comparison291,0.3434,0.2916,0.3976,291,664,14.663,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,20,comparison291,0.372,0.3174,0.429,291,664,18.873,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,30,comparison291,0.3976,0.3424,0.4543,291,664,25.619,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,tanimoto1,50,comparison291,0.4277,0.3722,0.4841,291,664,32.378,32.378,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,1,comparison291,0.1416,0.1166,0.17,291,664,0.997,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,3,comparison291,0.2726,0.2324,0.3176,291,664,2.99,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,5,comparison291,0.3569,0.3138,0.4049,291,664,4.976,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,8,comparison291,0.3991,0.3532,0.45,291,664,7.921,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,10,comparison291,0.4277,0.3812,0.4773,291,664,9.856,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,15,comparison291,0.4548,0.4067,0.5057,291,664,14.632,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,20,comparison291,0.4669,0.4197,0.5153,291,664,19.292,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,30,comparison291,0.4744,0.4275,0.5234,291,664,27.639,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,tanimoto1,50,comparison291,0.4774,0.4308,0.5262,291,664,40.471,40.471,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,1,comparison291,0.1386,0.1136,0.168,291,664,0.997,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,3,comparison291,0.262,0.2274,0.301,291,664,2.983,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,5,comparison291,0.3328,0.2925,0.3784,291,664,4.962,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,8,comparison291,0.4066,0.3616,0.455,291,664,7.88,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,10,comparison291,0.4367,0.3923,0.4848,291,664,9.498,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,15,comparison291,0.4488,0.4049,0.4967,291,664,11.082,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,20,comparison291,0.4503,0.4064,0.4984,291,664,11.113,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,30,comparison291,0.4503,0.4064,0.4984,291,664,11.113,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,tanimoto1,50,comparison291,0.4503,0.4064,0.4984,291,664,11.113,11.113,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,1,comparison291,0.0497,0.0343,0.0674,291,664,0.976,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,3,comparison291,0.1551,0.1264,0.187,291,664,2.876,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,5,comparison291,0.2199,0.1858,0.257,291,664,4.667,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,8,comparison291,0.2756,0.2354,0.3184,291,664,6.931,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,10,comparison291,0.3012,0.258,0.3469,291,664,8.086,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,15,comparison291,0.3373,0.2913,0.3862,291,664,9.825,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,20,comparison291,0.3449,0.2987,0.3931,291,664,10.399,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
